Record{size=15288, name=' build/obj/tunerstudio.o@ .bss.configWorkingCopy'}
Record{size=4, name=' build/obj/injector_central.o@_ZL4pinX'}
Record{size=4, name=' build/obj/injector_central.o@ .bss._ZL8brainPin'}
Record{size=4, name=' build/obj/injector_central.o@ .bss._ZL7offTime'}
Record{size=4, name=' build/obj/injector_central.o@ .bss._ZL7delayMs'}
Record{size=4, name=' build/obj/injector_central.o@ .bss._ZL6onTime'}
Record{size=4, name=' build/obj/injector_central.o@ .bss._ZL5count'}
Record{size=4, name=' build/obj/idle_thread.o@ .bss._ZL6logger'}
Record{size=4, name=' build/obj/hardware.o@ .bss.maxNesting'}
Record{size=4, name=' build/obj/hardware.o@ .bss._ZL18fastMapSampleIndex'}
Record{size=4, name=' build/obj/hardware.o@ .bss._ZL14tpsSampleIndex'}
Record{size=4, name=' build/obj/hardware.o@ .bss._ZL14hipSampleIndex'}
Record{size=4, name=' build/obj/hardware.o@ .bss._ZL12sharedLogger'}
Record{size=4, name=' build/obj/fsio_impl.o@_ZL4defa'}
Record{size=4, name=' build/obj/fsio_impl.o@ .bss._ZL6logger'}
Record{size=4, name=' build/obj/fsio_impl.o@ .bss._ZL16radiatorFanLogic'}
Record{size=4, name=' build/obj/fsio_impl.o@ .bss._ZL15alternatorLogic'}
Record{size=4, name=' build/obj/fsio_impl.o@ .bss._ZL13fuelPumpLogic'}
Record{size=4, name=' build/obj/fsio_impl.o@ .bss._ZL12acRelayLogic'}
Record{size=4, name=' build/obj/fsio_core.o@LE_FIRST'}
Record{size=4, name=' build/obj/flash_main.o@ .bss._ZL6logger'}
Record{size=4, name=' build/obj/ff.o@FatFs'}
Record{size=4, name=' build/obj/event_queue.o@ .bss.maxHowFarOff'}
Record{size=4, name=' build/obj/event_queue.o@ .bss.maxEventQueueTime'}
Record{size=4, name=' build/obj/event_queue.o@ .bss.lastEventQueueTime'}
Record{size=4, name=' build/obj/event_queue.o@ .bss._ZL14longScheduling'}
Record{size=4, name=' build/obj/error_handling.o@globalVt'}
Record{size=4, name=' build/obj/error_handling.o@allReady'}
Record{size=4, name=' build/obj/error_handling.o@ .bss.maxLockTime'}
Record{size=4, name=' build/obj/error_handling.o@ .bss.lastLockTime'}
Record{size=4, name=' build/obj/error_handling.o@ .bss.dbg_panic_line'}
Record{size=4, name=' build/obj/error_handling.o@ .bss.dbg_panic_file'}
Record{size=4, name=' build/obj/engine_emulator.o@_ZL4flag'}
Record{size=4, name=' build/obj/engine_controller.o@ .bss._ZL32versionForConfigurationListeners'}
Record{size=4, name=' build/obj/engine_configuration.o@ .bss._ZL26globalConfigurationVersion'}
Record{size=4, name=' build/obj/efiGpio.o@ .bss.OUTPUT_MODE_DEFAULT'}
Record{size=4, name=' build/obj/console_io.o@ .bss.lastWriteSize'}
Record{size=4, name=' build/obj/console_io.o@ .bss.lastWriteActual'}
Record{size=4, name=' build/obj/console_io.o@ .bss.console_line_callback'}
Record{size=4, name=' build/obj/console_io.o@ .bss._ZL6logger'}
Record{size=4, name=' build/obj/cli_registry.o@ .bss._ZL7logging'}
Record{size=4, name=' build/obj/cli_registry.o@ .bss._ZL18consoleActionCount'}
Record{size=4, name=' build/obj/chmemcore.o@ *(.bss.nextmem)'}
Record{size=4, name=' build/obj/chmemcore.o@ *(.bss.endmem)'}
Record{size=4, name=' build/obj/chdebug.o@ .bss.dbg_panic_msg'}
Record{size=4, name=' build/obj/chdebug.o@ .bss.dbg_lock_cnt'}
Record{size=4, name=' build/obj/can_hw.o@ .bss._ZL14canReadCounter'}
Record{size=4, name=' build/obj/can_hw.o@ .bss._ZL13canWriteNotOk'}
Record{size=4, name=' build/obj/can_hw.o@ .bss._ZL10engine_rpm'}
Record{size=4, name=' build/obj/can_hw.o@ .bss._ZL10engine_clt'}
Record{size=4, name=' build/obj/can_hw.o@ .bss._ZL10canWriteOk'}
Record{size=4, name=' build/obj/board_test.o@ .bss._ZL12currentIndex'}
Record{size=4, name=' build/obj/board_test.o@ .bss._ZL11stepCoutner'}
Record{size=4, name=' build/obj/alternatorController.o@ .bss._ZL6logger'}
Record{size=4, name=' build/obj/alternatorController.o@ .bss._ZL14currentAltDuty'}
Record{size=4, name=' build/obj/adc_inputs.o@ .bss._ZL23adcCallbackCounter_slow'}
Record{size=4, name=' build/obj/adc_inputs.o@ .bss._ZL17adcDebugReporting'}
Record{size=4, name=' build/obj/accel_enrichment.o@ .bss._ZL6logger'}
Record{size=4, name=' build/obj/SingleTimerExecutor.o@ .bss.lastExecutionCount'}
Record{size=4, name=' build/obj/SingleTimerExecutor.o@ .bss.hwSetTimerTime'}
Record{size=4, name=' build/obj/SingleTimerExecutor.o@ .bss.beforeHwSetTimer'}
Record{size=4, name=' build/obj/HIP9011.o@ .bss.hipLastExecutionCount'}
Record{size=4, name=' build/obj/HIP9011.o@ .bss._ZL7tx_buff'}
Record{size=4, name=' build/obj/HIP9011.o@ .bss._ZL7rx_buff'}
Record{size=4, name=' build/obj/HIP9011.o@ .bss._ZL6logger'}
Record{size=4, name=' build/obj/HIP9011.o@ .bss._ZL21totalKnockEventsCount'}
Record{size=4, name=' build/obj/HIP9011.o@ .bss._ZL16currentBandIndex'}
Record{size=4, name=' build/obj/HIP9011.o@ .bss._ZL15nonZeroResponse'}
Record{size=4, name=' @ *(.bss.default_heap)'}
Record{size=4, name=' @ *(.bss._idle_thread_wa)'}
Record{size=2, name=' build/obj/tunerstudio.o@ .bss.currentPageId'}
Record{size=2, name=' build/obj/tunerstudio.o@ .bss._ZL6pageIn'}
Record{size=2, name=' build/obj/spi_lld.o@dummytx'}
Record{size=2, name=' build/obj/spi_lld.o@dummyrx'}
Record{size=2, name=' build/obj/ff.o@Fsid'}
Record{size=1, name=' build/obj/tunerstudio.o@ .bss._ZL9firstByte'}
Record{size=1, name=' build/obj/tunerstudio.o@ .bss._ZL10secondByte'}
Record{size=1, name=' build/obj/thermistors.o@ .bss._ZL11initialized'}
Record{size=1, name=' build/obj/rusefi.o@ .bss.main_loop_started'}
Record{size=1, name=' build/obj/rusefi.o@ .bss.hasFirmwareErrorFlag'}
Record{size=1, name=' build/obj/mmc_card.o@ .bss._ZL8fs_ready'}
Record{size=1, name=' build/obj/microsecond_timer.o@ .bss._ZL14isTimerPending'}
Record{size=1, name=' build/obj/map_averaging.o@ .bss._ZL11isAveraging'}
Record{size=1, name=' build/obj/injector_central.o@ .bss._ZL14needToRunBench'}
Record{size=1, name=' build/obj/injector_central.o@ .bss._ZL14isRunningBench'}
Record{size=1, name=' build/obj/flash_main.o@ .bss._ZL24needToWriteConfiguration'}
Record{size=1, name=' build/obj/error_handling.o@ .bss.isInsideTriggerHandler'}
Record{size=1, name=' build/obj/datalogging.o@ .bss._ZL31intermediateLoggingBufferInited'}
Record{size=1, name=' build/obj/console_io.o@ .bss.consoleInBinaryMode'}
Record{size=1, name=' build/obj/console_io.o@ .bss._ZL22isSerialConsoleStarted'}
Record{size=1, name=' build/obj/console_io.o@ .bss._ZL19is_serial_over_uart'}
Record{size=1, name=' build/obj/board_test.o@ .bss._ZL18is_board_test_mode'}
Record{size=1, name=' build/obj/HIP9011.o@ .bss._ZL5state'}
Total size: 102252
